,title,description,school,local,pubDate,link
0,유치원·어린이집 통합 논의 첫발…추진위 본격 출범,구체적으로는 △유치원과 어린이집의 현장 관계자 각 3명씩 총 6명 △전국시도교육감협의회와... 듣고 정책 수립에 최대한 반영하겠다고 말했다. 이어 추진위원회 위원들에게는 “아이들을 대신해 한자리에 모인 우리... ,어린이집,전국,"Tue, 04 Apr 2023",http://www.fnnews.com/news/202304041101333704
1,2025년 유치원·어린이집 통합 논의 본격 시작…유보통합추진위 출범,"추진위는 오는 2025년 유치원과 어린이집의 통합기관 출범 등을 목표로 핵심 정책을 심의해 의결하게 된다.... 듣고 정책에 최대한 반영하도록 노력하겠다고 말했다. 한편, 전국공공운수사회서비스노조 보육지부장이... ",어린이집,전국,"Tue, 04 Apr 2023",https://news.imaeil.com/page/view/2023040416454660791
2,우리 동네 유치원·어린이집 결원 정보 한눈에 본다,"추진위는 유보통합(유아교육과 어린이집 보육의 통합)의 주요 정책을 심의하는 기구로, 이날 위원 구성을... 박다솜 전국국공립유치원교사노조 위원장이, 어린이집 관계자는 김경숙 한국어린이집총연합회(민간) 회장... ",어린이집,전국,"Tue, 04 Apr 2023",https://www.hani.co.kr/arti/society/schooling/1086442.html
3,8월부터 근처 어린이집·유치원 빈자리 한눈에 확인한다,오는 8월부터는 영유아 학부모들이 집 근처 어린이집과 유치원의 빈자리를 한 번에 확인할 수 있는 시스템을... 유보통합 정책을 가져가기 어려워질 수 있다”고 말했다. 전국교직원노동조합도 지난 3일 성명에서... ,어린이집,전국,"Tue, 04 Apr 2023",https://www.khan.co.kr/national/education/article/202304041624001
4,어린이집 발달지연 영유아 조기발견 위한 전문가 포럼 개최,주제 발표자로 나선 육아정책연구원 강은진 박사는 ▷장애위험 영유아의 정의 및 현황 ▷현장 교사들의... (전 전국장애아통합어린이집협의회 회장)이 토론자로 참여했다. 전문가 이어가기 포럼은 한국보육진흥원이... ,어린이집,전국,"Wed, 05 Apr 2023",http://news.heraldcorp.com/view.php?ud=20230405000253
5,"맞벌이 부부 난리인데…직장어린이집, 더 설치할 곳 없다 예산 ‘싹둑",하지만 고용부 입장에서는 직장어린이집을 마냥 늘리기 어려운 정책적 고민도 있다. 국회가 나서... 이 중 90.9%(1351곳)가 법적 의무를 이행했지만 당시 설치된 직장어린이집 수는 전국의 1016곳에 그쳤다. 게다가 의무... ,어린이집,전국,"Mon, 03 Apr 2023",https://www.sedaily.com/NewsView/29O5RXW204
6,(인터뷰)정원오 “성동구 출산율 1위 비결…당사자 맞춤형 정책”,"그래서 취임 이후 구립어린이집을 늘리고 초등학교 워킹스쿨버스를 도입해 등하교길에 부모들 힘을 안... 정부도 고민이 많겠지만 정부는 경력단절, 남성의 보육 참여, 직장문화, 이민정책과 같이 전국적으로 통일이... ",어린이집,전국,"Tue, 04 Apr 2023",http://www.newstomato.com/ReadNews.aspx?no=1183290&inflow=N
7,바이든은 왜 칩스법에 ‘어린이집 의무화’ 넣었을까,"영국 기업 4분의 3은 지난해 전국적으로 100만개 이상의 공석이 발생하면서 조직 운영에 어려움을 겪어야 했다. 변화하는 정부, 보육정책에 박차 미국과 영국은 모두 복지에서 국민의 자조 노력과 자기 책임을 강조해온... ",어린이집,전국,"Sat, 01 Apr 2023",https://news.kmib.co.kr/article/view.asp?arcid=0924294167&code=11141400&cp=nv
8,"군포시, 어린이집·유치원 종사자 아동학대 예방 교육","엄경화 시 청소년청년정책과장은 아동학대 업무 공공화 추진과 아동학대 예방을 위한 선제적 점검... [전국매일신문] 군포/ 이재후기자 goodnews@jeonmae.co.kr 군포시,어린이집,유치원,아동학대,예방교육,엄경화",어린이집,전국,"Thu, 30 Mar 2023",https://www.jeonmae.co.kr/news/articleView.html?idxno=949025
9,어린이집 표준보육비용 ‘76만2000원’…21% 올랐지만 유치원과 격차는 여전,정책위원회의 심의를 거쳐 ‘2022년 표준보육비용’을 결정했다고 밝혔다. 표준보육비용은 어린이집에서 일정 수준의 보육 서비스를 제공하는 데 필요한 비용을 의미한다. 이 값은 지난해 12월 기준 전국의 만 0... ,어린이집,전국,"Thu, 30 Mar 2023",https://www.khan.co.kr/national/health-welfare/article/202303302156025
10,"학부모들 반발에…중구, 25년까지 ‘국공립어린이집 공공위탁’ 유지",국공립어린이집의 공공 운영은 ‘중구형 돌봄’의 하나였다. 중구형 돌봄은 전국 최초로 초등학교 내... 1교실 2교사제 등으로 양질의 돌봄 서비스를 제공하면서 이용 주민 10명 중 9명 이상이 만족해온 정책이었다. 중구는... ,어린이집,전국,"Wed, 29 Mar 2023",https://www.khan.co.kr/national/national-general/article/202303291100001
11,어린이집 줄줄이 폐원…대책 마련 시급,"50%, 30% 이런 식으로 줄어서 저희가 폐원할 수밖에 없었습니다.] 최근 4년 동안 폐원한 전국의 어린이집은... 수준이 어린이집하고 유치원 아동들에게 동등하게 돼야 한다고 생각이 들어요.] 정부의 저출산 정책은 갈수록... ",어린이집,전국,"Tue, 28 Mar 2023",https://news.kbs.co.kr/news/view.do?ncd=7637399&ref=A
12,어린이집 줄줄이 폐원…대책 마련 시급,"50%, 30% 이런 식으로 줄어서 저희가 폐원할 수밖에 없었습니다.] 최근 4년 동안 폐원한 전국의 어린이집은... 수준이 어린이집하고 유치원 아동들에게 동등하게 돼야 한다고 생각이 들어요.] 정부의 저출산 정책은 갈수록... ",어린이집,전국,"Tue, 28 Mar 2023",https://news.kbs.co.kr/news/view.do?ncd=7637335&ref=A
13,어린이집 줄줄이 폐원…대책 마련 시급,"50%, 30% 이런 식으로 줄어서 저희가 폐원할 수밖에 없었습니다.] 최근 4년 동안 폐원한 전국의 어린이집은... 수준이 어린이집하고 유치원 아동들에게 동등하게 돼야 한다고 생각이 들어요.] 정부의 저출산 정책은 갈수록... ",어린이집,전국,"Wed, 29 Mar 2023",https://news.kbs.co.kr/news/view.do?ncd=7637771&ref=A
14,"저출생, 많은 돈 쓰고도 왜 효과 없나[윤형중의 정책과 딜레마]","돌봄이란 어린이집 이용시간을 맞춤반은 6시간, 종일반은 12시간으로 개편하는 정책으로 전업주부에게... 시사인과 한국리서치가 2월 10일부터 14일까지 만 18~49세 전국 성인 남녀 1000명을 조사한 결과 ‘자녀는 반드시... ",어린이집,전국,"Mon, 27 Mar 2023",https://weekly.khan.co.kr/khnm.html?mode=view&code=114&artid=202303241251171
15,"경기도, 0세아 전용 어린이집 학부모 대상 아동학대 예방 교육 진행",2008년 전국 최초로 개설했고 현재 335개소가 운영 중이다. 도는 0세아 전용 어린이집을 2026년까지 370개소로 확대한다는 방침이다. 윤영미 경기도 보육정책과장은 부모님이 몰랐던 어린 영아들의 전인적 발달을 위한... ,어린이집,전국,"Tue, 04 Apr 2023",https://www.ibabynews.com/news/articleView.html?idxno=110562
16,"경기도, 어린이집 보육 교직원 역량 강화 4개 교육사업 추진","국공립어린이집 신임원장 역량 강화 교육은 전국 최초로 2019년 시작한 교육으로, 신임원장의 직무역량... 윤영미 경기도 보육정책과장은 올해 다양하고 실용적인 교육을 통해 보육 교직원의 전문성을 강화하고... ",어린이집,전국,"Mon, 20 Mar 2023",http://www.newsis.com/view/?id=NISX20230320_0002232644&cID=10803&pID=14000
17,인천 동구청사 직장어린이집 폐원…저출산 극복 정책 역행,"이상혁 인천시어린이집연합회 회장은 “최근 저출산이 전국적으로 큰 문제인데, 이를 극복하려면 직장어린이집 등 작은 정책이 모두 맞물려야 한다”며 “직장어린이집 폐원는 정부의 저출산 극복을 위한 정책과... ",어린이집,전국,"Thu, 30 Mar 2023",https://www.kyeonggi.com/article/20230329580264
18,서울 어린이집 400곳 교사 1인당 돌봄 아동 비율 축소,"김선순 서울시 여성가족정책실장은 영유아의 안전한 보육환경 마련과 보육교사 근무 여건 개선, 어린이집에 대한 부모 신뢰 향상이라는 일석삼조의 효과가 입증된 이 정책이 전국적으로 확대 시행되기를 바란다... ",어린이집,전국,"Wed, 15 Mar 2023",https://www.yna.co.kr/view/AKR20230315027200004?input=1195m
19,김길성 중구청장 국공립어린이집 공공위탁 유지하겠다,"앞으로도 열린 소통으로 중구의 건강한 보육정책을 함께 만들어 나가겠다고 말했다. [전국매일신문] 임형찬기자 limhc@jeonmae.co.kr 중구,국공립어린이집,공공위탁,유지,기자회견",어린이집,전국,"Wed, 29 Mar 2023",https://www.jeonmae.co.kr/news/articleView.html?idxno=948680
20,"“회사 어린이집에 아이 맡기세요”…제조업계, 2030 인재 모시기",복지 정책 중 하나다. 정기선 HD현대 사장은 이날 개원식에 직접 참여해 “(저 또한)두 아이의 아빠로서... 보건복지부에 따르면 지난해 전국 어린이집 수는 3만 923개로 집계됐다. 2018년 3만 9171개보다 8248개(21.1... ,어린이집,전국,"Thu, 09 Mar 2023",https://www.donga.com/news/Society/article/all/20230309/118257454/1
21,서울시 교사 1명당 아동 수 줄여 보육품질↑…어린이집 확대,"강화로 이어질 수 있다며 영유아의 안전한 보육환경 마련과 보육교사 근무여건 개선, 어린이집에 대한 부모의 신뢰 향상이라는 일석삼조의 효과가 입증된 정책으로 전국적으로 확산·시행되기를 바란다고 말했다.",어린이집,전국,"Wed, 15 Mar 2023",http://www.newsis.com/view/?id=NISX20230315_0002227123&cID=10201&pID=10200
22,0세반 교사 1명당 아동 3→2명…서울 400개 어린이집으로 확대,"위한 중요한 정책이라며 영유아의 안전한 보육환경 마련과 보육교사 근무여건 개선, 어린이집에 대한 부모의 신뢰 향상이라는 일석삼조의 효과가 입증된 정책으로 전국적으로 확산·시행되기를 바란다고 밝혔다.",어린이집,전국,"Wed, 15 Mar 2023",https://www.news1.kr/articles/4981908
23,저출산에 어린이집 줄폐업… 해고 보육교사들 “알바로 생계”,● 어린이집 4년 만에 20% 넘게 줄어 보건복지부에 따르면 전국 어린이집 수는 2018년 3만9171곳에서 지난해... “정부가 정책적으로 보육교사를 양성해 온 만큼 줄 잇는 해고 사태를 더 이상 방관하면 안 된다”고... ,어린이집,전국,"Wed, 15 Mar 2023",https://www.donga.com/news/Society/article/all/20230314/118332817/1
24,늘어나는 유치원·어린이집 폐·휴원에 학부모 걱정,"기간 전국 어린이집 수는 3만9171개에서 3만923개로 줄어들었습니다. 4년 사이 유치원은 459곳, 어린이집은... 어린이집을 운영하는 등 공공성 강화에 나서야 한다고 요구합니다. 김철 한국유치원총연합회 정책홍보국장은... ",어린이집,전국,"Mon, 27 Mar 2023",http://www.newstomato.com/ReadNews.aspx?no=1182355&inflow=N
25,"경기도, 어린이집 보육 교직원 역량강화 4개 사업추진…1만4000명 대상",맞벌이 가정의 양육 부담 경감을 위한 특화 어린이집으로 2008년 전국 최초로 개설해 현재 313개소가 운영... 윤영미 도 보육정책과장은 올해 다양하고 실용적인 교육을 통해 보육 교직원의 전문성을 강화하고... ,어린이집,전국,"Mon, 20 Mar 2023",https://daily.hankooki.com/news/articleView.html?idxno=935855
26,[굿모닝브리핑] 어린이집 0세반 수요 늘지만 42%는 미운영,"[이현웅] 전국에 있는 3만여 곳의 어린이집 중 42%, 1만 3천여 곳은 0세반이 없는 상황이라고 합니다. 어린이집... 지방 인구가 점차 줄며 그동안 각 지자체는 인구를 유치하기 위한 여러 가지 정책을 마련해왔습니다. 하지만... ",어린이집,전국,"Mon, 20 Mar 2023",https://www.ytn.co.kr/_ln/0103_202303200713261406
27,충남어린이집연합회 제10대 민간분과 김선희 위원장 취임식 개최,"보육정책이 전국의 모범사례가 되고, 모든 어린이집 원장님들의 자부심이 높아지는 계기가 되도록 연합회의 멋진 행보를 기대하며 응원을 보냈다. 충남민간분과 김선희 위원장(중앙) 취임식 이날 취임식은 일정상... ",어린이집,전국,"Mon, 27 Mar 2023",http://www.ccnnews.co.kr/news/articleView.html?idxno=289383
28,"서울시, 교사-아동비율 줄인 어린이집 240개 추가 선정",김선순 여성가족정책실장은 출생률 저하로 영유아가 감소하는 상황에서 교사 1인당 돌보는 아동수 축소 운영은 곧 어린이집의 경쟁력 강화라며 효과가 입증된 정책으로 전국적으로 확산·시행되기를 바란다고... ,어린이집,전국,"Wed, 15 Mar 2023",http://www.newspim.com/news/view/20230315000100
29,"경기도, 어린이집 보육 교직원 전문성·역량 강화",국공립어린이집 신임원장 역량 강화 교육은 전국 최초로 지난 2019년부터 시작한 교육으로 신임원장의... 윤영미 도 보육정책과장은 “올해 다양하고 실용적인 교육을 통해 보육 교직원의 전문성을 강화하고... ,어린이집,전국,"Mon, 20 Mar 2023",http://www.shinailbo.co.kr/news/articleView.html?idxno=1676498
30,"서울시, 어린이집 400곳 교사 1명당 돌봄 아동 수 줄여","강화로 이어질 수 있다며 영유아의 안전한 보육환경 마련과 보육교사 근무여건 개선, 어린이집에 대한 부모의 신뢰 향상이라는 일석삼조의 효과가 입증된 정책으로 전국적으로 확산·시행되기를 바란다.고 말했다.",어린이집,전국,"Wed, 15 Mar 2023",https://www.onews.tv/news/articleView.html?idxno=157941
31,"서울시, 장애아전문어린이집 교사 1명당 아동 수 2명 축소","김선순 서울시 여성가족정책실장은 교사 대 아동비율 축소 시범사업은 영유아의 안전한 보육환경 마련과 보육교사 근무여건 개선, 어린이집에 대한 부모의 신뢰 향상이라는 일석삼조의 효과가 입증된 정책으로 전국적... ",어린이집,전국,"Wed, 15 Mar 2023",http://www.ablenews.co.kr/news/articleView.html?idxno=201966
32,서울시내 어린이집 저출산 직격탄… 해마다 300∼400곳 줄줄이 문 닫아,어린이집·결혼식장이 문을 닫거나 요양원 등으로 바뀌는 흐름은 가속화하고 있다. 출산율이 전국 최저인... “출산·장려 정책에만 몰입하지 말고 무너지는 민간·가정 어린이집에 대한 고충 해결에 나서야 한다”... ,어린이집,전국,"Tue, 07 Mar 2023",http://www.segye.com/content/html/2023/03/06/20230306518532.html?OutUrl=naver
33,유보통합 반대한다 유치원 교사 68%인데…어린이집은 12%,"전국시도교육감협의회가 박창현 육아정책연구소 연구위원에게 의뢰한 설문조사 결과에 따르면, 유치원 교직원 67.9%가 유보통합에 반대(찬성은 28.2%)하는 것으로 나타났다. 어린이집 교직원은 반대가 11.8%(찬성 79.9... ",어린이집,전국,"Mon, 13 Mar 2023",https://www.joongang.co.kr/article/25146594
34,"서울시, 교사 1명당 아동 수 줄여 보육품질↑ 400개 어린이집으로 확대","강화로 이어질 수 있다며 영유아의 안전한 보육환경 마련과 보육교사 근무여건 개선, 어린이집에 대한 부모의 신뢰 향상이라는 일석삼조의 효과가 입증된 정책으로 전국적으로 확산·시행되기를 바란다.고 말했다.",어린이집,전국,"Wed, 15 Mar 2023",http://www.bzeronews.com/news/articleView.html?idxno=549483
35,"“회사 어린이집에 아이 맡기세요”… 제조업계, 2030 인재 모시기",복지 정책 중 하나다. 정기선 HD현대 사장은 이날 개원식에 참석해 “(저 또한) 두 아이의 아빠로서 일과... 보건복지부에 따르면 지난해 전국 어린이집은 3만923곳으로 집계됐다. 2018년 3만9171곳보다 8248곳(21.1... ,어린이집,전국,"Fri, 10 Mar 2023",https://www.donga.com/news/Economy/article/all/20230309/118259817/1
36,"한국가정어린이집연합회 가정어린이집 폐원, 더 이상은 안 된다",3030개소의 어린이집이 문을 닫았는데 이중 66.4%(2012개소)가 가정어린이집이었다. 한가연은 집 가까운 곳에... 국가보육 정책으로 선포하고 전국 실시 ▲부모급여 지원에 따른 어린이집 운영 방안 모색 등을 제안했다.... ,어린이집,전국,"Wed, 15 Mar 2023",https://www.ibabynews.com/news/articleView.html?idxno=110324
37,"서울시, 교사 1명당 아동 수 줄여 보육 품질 높인다…400개 어린이집으로 확대","이어 영유아의 안전한 보육환경 마련과 보육교사 근무여건 개선, 어린이집에 대한 부모의 신뢰 향상이라는 일석삼조의 효과가 입증된 정책으로 전국적으로 확산·시행되기를 바란다고 말했다.",어린이집,전국,"Wed, 15 Mar 2023",https://www.ajunews.com/view/20230315102250858
38,"어린이집-유치원 격차 해소 위해 추진되는 유보통합, 성공 조건은?","유보통합의 정책 대상 연령은 0~5세이다. 저출산, 인구감소로 인한 소규모(가정) 어린이집의 폐원 사례가... 서울시를 시작으로 한 성명서 발표는 경남, 경기, 광주, 전남 등의 전국시도별로 동시다발적으로 진행될 예정이다.... ",어린이집,전국,"Wed, 22 Mar 2023",https://www.ibabynews.com/news/articleView.html?idxno=110387
39,"서울시, 교사 대 아동비율 축소 어린이집 2025년까지 1000개로 늘린다","강화로 이어질 수 있다며 영유아의 안전한 보육환경 마련과 보육교사 근무여건 개선, 어린이집에 대한 부모의 신뢰 향상이라는 일석삼조의 효과가 입증된 정책으로 전국적으로 확산·시행되기를 바란다고 말했다.",어린이집,전국,"Wed, 15 Mar 2023",https://www.ibabynews.com/news/articleView.html?idxno=110320
40,5년 새 어린이 30% 어린이집 40% 줄어…부안군 보육환경 개선 요구돼,"행안부의 지방소멸대응기금을 활용해 새로운 인구 유입 정책을 만들어 막대한 예산을 쏟아붓고 있지만... 문재인 정부 시절 공약을 통해 전국적으로 국공립어린이집 확대를 추진했지만, 전북도는 이에 드는 비용이... ",어린이집,전국,"Fri, 17 Mar 2023",https://www.ibuan.com/news/articleView.html?idxno=39580
41,[어떻게 생각하십니까] 외국인 아동 어린이집 보육료 지원,"◇외국인 자녀까지 국민 세금 지원은 안 돼= 경남도는 어린이집 외국인 지원 정책의 경우 사회적 합의가... 한편, 전국적으로 지자체의 여건에 따라 외국인 아동에 대한 보육료 지원이 이뤄지고 있다. 2018년 경기도 안산을... ",어린이집,전국,"Thu, 09 Mar 2023",http://www.knnews.co.kr/news/articleView.php?idxno=1398766
